iteratie, x pos,y pos,deltavx,deltavy, lichtcoefficient
2390,27.703992511440216,1.9274370299561308,-0.001246299680217675,-0.0035503294854099528,0.3332595714594046
2400,27.800916036266347,1.9086964825840502,-0.0012431029751610856,-0.0035663852709518994,0.3332595714594046
2410,27.89771528259306,1.8895991369756144,-0.0012399185539895526,-0.0035823793593961818,0.3332595714594046
2420,27.994390568740496,1.8701433943346077,-0.0012367463538443559,-0.003598312066457294,0.3332595714594046
2430,28.09094221180732,1.8503276619998226,-0.0012335863122683469,-0.0036141837058328,0.3332595714594046
2440,28.18737052767695,1.8301503534137105,-0.0012304383672028718,-0.0036299945892187785,0.3332595714594046
2450,28.28367583102378,1.8096098880912328,-0.0012273024569847244,-0.003645745026325133,0.3332595714594046
2460,28.379858435319328,1.7887046915889084,-0.0012241785203431286,-0.0036614353248907465,0.3332595714594046
2470,28.475918652838363,1.7674331954740607,-0.0012210664963967406,-0.0036770657906985377,0.3332595714594046
2480,28.571856794664974,1.745793837294257,-0.001217966324650686,-0.0036926367275903413,0.3332595714594046
2490,28.667673170698645,1.7237850605469436,-0.001214877944993617,-0.003708148437481686,0.3332595714594046
2500,28.76336808966025,1.7014053146492751,-0.001211801297694801,-0.0037236012203764298,0.3332595714594046
2510,28.858941859098007,1.678653054908132,-0.0012087363234012311,-0.003738995374381255,0.3332595714594046
2520,28.954394785393422,1.6555267424903277,-0.0012056829631347627,-0.003754331195720064,0.3332595714594046
2530,29.049727173767195,1.632024844393006,-0.0012026411582892749,-0.0037696089787482307,0.3332595714594046
2540,29.144939328285055,1.6081458334142245,-0.0011996108506278616,-0.0037848290159667045,0.3332595714594046
2550,29.240031551863584,1.58388818812372,-0.001196591982280039,-0.003799991598036045,0.3332595714594046
2560,29.335004146276024,1.5592503928338648,-0.0011935844957389873,-0.003815097013790271,0.3332595714594046
2570,29.429857412157993,1.534230937570799,-0.0011905883338588072,-0.0038301455502506407,0.3332595714594046
2580,29.524591649013217,1.5088283180457458,-0.0011876034398518086,-0.0038451374926392677,0.3332595714594046
2590,29.61920715521919,1.4830410356265085,-0.001184629757285818,-0.0038600731243926428,0.3332595714594046
2600,29.71370422803283,1.4568675973091434,-0.0011816672300815094,-0.003874952727175051,0.3332595714594046
2610,29.808083163596073,1.4303065156898123,-0.0011787158025097636,-0.0038897765808918222,0.3332595714594046
2620,29.902344256941436,1.4033563089368077,-0.001175775419189044,-0.0039045449637025165,0.3332595714594046
2630,29.996487801997564,1.376015500762755,-0.001172846025082801,-0.003919258152033963,0.3332595714594046
